Año,Alcaldía,Grupo de edad,Población,menores_de_18,mayores_de_18,Categoria de Edad,Categoria de edad
2020,Tláhuac,75 a 79 años,4627,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,80 a 84 años,3017,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,85 a 89 años,1624,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,90 a 94 años,662,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,95 a 99 años,222,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,100 años y más,16,False,True,Mayores de edad,Mayores de Edad
2020,Tláhuac,No especificado,145,False,False,,
2020,Tlalpan,0 a 4 años,34857,True,False,Menores de Edad,Menores de Edad
2020,Tlalpan,5 a 9 años,45252,True,False,Menores de Edad,Menores de Edad
2020,Tlalpan,10 a 14 años,49043,True,False,Menores de Edad,Menores de Edad
2020,Tlalpan,15 a 19 años,52955,False,False,Menores de Edad,Menores de Edad
2020,Tlalpan,20 a 24 años,57573,False,False,Mayores de edad,Mayores de Edad
2020,Tlalpan,25 a 29 años,56410,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,30 a 34 años,54450,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,35 a 39 años,52830,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,40 a 44 años,51206,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,45 a 49 años,51075,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,50 a 54 años,46290,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,55 a 59 años,38562,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,60 a 64 años,34838,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,65 a 69 años,26970,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,70 a 74 años,19759,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,75 a 79 años,12570,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,80 a 84 años,8058,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,85 a 89 años,4202,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,90 a 94 años,1845,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,95 a 99 años,564,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,100 años y más,88,False,True,Mayores de edad,Mayores de Edad
2020,Tlalpan,No especificado,531,False,False,,
2020,Venustiano Carranza,0 a 4 años,23147,True,False,Menores de Edad,Menores de Edad
2020,Venustiano Carranza,5 a 9 años,26760,True,False,Menores de Edad,Menores de Edad
2020,Venustiano Carranza,10 a 14 años,28174,True,False,Menores de Edad,Menores de Edad
2020,Venustiano Carranza,15 a 19 años,30110,False,False,Menores de Edad,Menores de Edad
2020,Venustiano Carranza,20 a 24 años,32983,False,False,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,25 a 29 años,34920,False,True,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,30 a 34 años,34441,False,True,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,35 a 39 años,32721,False,True,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,40 a 44 años,31216,False,True,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,45 a 49 años,31846,False,True,Mayores de edad,Mayores de Edad
2020,Venustiano Carranza,50 a 54 años,30804,False,True,Mayores de edad,Mayores de Edad
