precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
5500,"Oriente 253 108,  Agrícola Oriental, Iztacalco",Iztacalco,Agrícola Oriental,8,19.389,-99.06
20000,"LAGUNA DE TERMINOS 196 A,  Granada, Miguel Hidalgo",Miguel Hidalgo,Granada,34,19.443,-99.18
25000,"Masaryk 100,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,26,19.432,-99.2
35000,"Calle Campana Esquina Av. Patriotismo,  Insurgentes Mixcoac,  Insurgentes Mixcoac, Benito Juárez",Insurgentes Mixcoac,Insurgentes Mixcoac,652,19.372,-99.18
15750,",  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Santa Fe Cuajimalpa,3625,19.36,-99.27
12900,"MONTERREY 381,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,45,19.403,-99.16
39900,"FERNANDO DE ALVA,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,40,19.413,-99.13
35000,"A. D. del N.,  Del Carmen, Coyoacán",Coyoacán,Del Carmen,74,19.354,-99.16
8000,"LA JOYITA, GUSTAVO A. MADERO,  La Joyita, Gustavo A. Madero",La Joyita,GUSTAVO A. MADERO,60,19.462,-99.11
11512,"Calle 16 514,  Pro-Hogar, Azcapotzalco",Azcapotzalco,Pro-Hogar,40,19.473,-99.15
6500,"Miramontes,  Avante, Coyoacán",Coyoacán,Avante,14,19.332,-99.13
6000,"Luis de la Rosa 43,  Constitución de La República, Gustavo A. Madero",Gustavo A. Madero,Constitución de La República,23,19.481,-99.1
7500,"Sudermann ,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,12,19.433,-99.18
10500,"LORENZO BOTURINI,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,21,19.418,-99.13
33220,"Plaza San Jacinto,  San Ángel, Alvaro Obregón",Alvaro Obregón,San Ángel,32,19.345,-99.19
55000,"REPUBLICA DE EL SALVADOR 35,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,22,19.429,-99.13
16000,"Local Comercial en Prolongacion Bosques de Reforma,  Bosques de las Lomas, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Bosques de las Lomas,44,19.388,-99.26
35000,"EJE CENTRAL,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,68,19.407,-99.14
2600010,"marsella 17,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,60,19.426,-99.15
5000,"Calle 4, 10,  Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan,10,15,19.402,-99.06
9000,"av baja california,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,30,19.405,-99.16
8340,"Av. Henry Ford ,  Bondojito, Gustavo A. Madero",Gustavo A. Madero,Bondojito,24,19.466,-99.1
35000,"Eje Central No. 00,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,57,19.407,-99.14
9600,"Nogal,  Santa María la Ribera, Cuauhtémoc",Cuauhtémoc,Santa María la Ribera,131,19.449,-99.16
6500,"Dr. Joublanc ,  Tacubaya, Miguel Hidalgo",Miguel Hidalgo,Tacubaya,34,19.402,-99.18
5000,"Pitagoras,  Del Valle Centro, Benito Juárez",Benito Juárez,Del Valle Centro,8,19.382,-99.15
9000,"Miguel Ángel de Quevedo ,  Parque San Andrés, Coyoacán",Coyoacán,Parque San Andrés,8,19.343,-99.15
7000,"Moctezuma 2,  Guerrero, Cuauhtémoc",Cuauhtémoc,Guerrero,25,19.442,-99.13
78880,"CENTRO HISTORICO,  Centro Histórico de la Cdad. de México, Cuauhtémoc",Cuauhtémoc,Centro Histórico de la Cdad. de México,53,19.426,-99.13
10000,"Cda.lago Chapultepec, 161,  5 de Mayo, Miguel Hidalgo",5 de Mayo,161,56,19.447,-99.19
10000,"Av Emilio Carranza,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,34,19.431,-99.09
30000,"Amores ,  Del Valle Norte, Benito Juárez",Benito Juárez,Del Valle Norte,80,19.396,-99.16
18000,"Canarias 928,  Portales Norte, Benito Juárez",Benito Juárez,Portales Norte,77,19.361,-99.14
25000,"Miramontes,  Coapa, Coyoacán",Coyoacán,Coapa,15,19.318,-99.13
16850,"Calzada Legaria,  Pensil Norte, Miguel Hidalgo",Miguel Hidalgo,Pensil Norte,5825,19.452,-99.19
18000,"Carlos B Zetina 43,  Escandón I Sección, Miguel Hidalgo",Miguel Hidalgo,Escandón I Sección,60,19.406,-99.18
25000,"LAGUNA DE TERMINOS 196 INT C,  Granada, Miguel Hidalgo",Miguel Hidalgo,Granada,78,19.443,-99.18
26500,"Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,292,19.439,-99.18
20000,"Manuel Payno,  Doctores, Cuauhtémoc",Cuauhtémoc,Doctores,80,19.413,-99.13
3500,"Isabel la Católica ,  Niños Héroes, Benito Juárez",Benito Juárez,Niños Héroes,61,19.386,-99.14
13475,"Ricardo Flores Magón,  Santa María la Ribera, Cuauhtémoc",Cuauhtémoc,Santa María la Ribera,77,19.454,-99.15
21000,"Benjamin Hill  146,  Hipódromo Condesa, Cuauhtémoc",Cuauhtémoc,Hipódromo Condesa,50,19.407,-99.17
6500,"AV  #,  San Juan de Aragón I Secc, Gustavo A. Madero",Gustavo A. Madero,San Juan de Aragón I Secc,25,19.461,-99.09
8500,"AV, CHICOASEN,  Héroes de Padierna, Tlalpan",Héroes de Padierna,CHICOASEN,161,19.288,-99.22
59000,"MIGUEL ANGEL DE QUEVEDO,  El Rosedal, Coyoacán",Coyoacán,El Rosedal,80,19.342,-99.15
37500,"Roma norte,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,55,19.416,-99.15
68000,"Mesones,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,69,19.428,-99.13
19200,"Manzanillo,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,69,19.411,-99.16
37000,"ATENAS 40,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,61,19.432,-99.15
24000,"CERRO TLAPACOYAN #11, Copilco Universidad, Coyoacán,  Copilco Universidad, Coyoacán",Coyoacán,Copilco Universidad,35,19.335,-99.17
3000,"Av. Tlahuac 3843,  San Andrés Tomatlán, Iztapalapa",Iztapalapa,San Andrés Tomatlán,12,19.328,-99.1
